video_id,channelId,channelTitle,title,publishedAt,viewCount,likeCount,favoriteCount,commentCount,duration,description,tags,thumbnails,projection,categoryId,caption,licensedContent,defaultAudioLanguage,dimension,definition,contentRating,liveBroadcastContent
5xp0taGM3Kg,UCsxJ9QfYa6qRbSA7TYnxk1A,Data Sensei,Andrew Ng's Secret to Mastering Machine Learning - Part 1 #shorts,2023-03-14T21:39:04Z,425480,20786,0,97,PT48S,"in this 2 part series Andrew Ng explains how he would learn machine learning

Follow me on tiktok: 
https://www.tiktok.com/@datasensei1

My instagram:
https://www.instagram.com/datasensei_21/reels/


#lexfridman #lexfridmanpodcast #datascience #machinelearning #deeplearning #study","data science tutorials,machine learning,data sensei,andrew ng,how to study,how to learn machine learning,how to study deep learning,productivity advice,professor in machine learning,deep learning expert,best tips to learn machine learning,datascience tips,coding,learning on coursera,artificial intelligence,online courses","{'default': {'url': 'https://i.ytimg.com/vi/5xp0taGM3Kg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/5xp0taGM3Kg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/5xp0taGM3Kg/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/5xp0taGM3Kg/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/5xp0taGM3Kg/maxresdefault.jpg', 'width': 1280, 'height': 720}}",rectangular,22,FALSE,FALSE,en,2d,hd,{},none
PeMlggyqz0Y,UCsBjURrPoezykLs9EqgamOA,Fireship,Machine Learning Explained in 100 Seconds,2021-09-09T17:31:56Z,593978,27931,0,471,PT2M35S,"Machine Learning is the process of teaching a computer how perform a task with out explicitly programming it. The process feeds algorithms with large amounts of data to gradually improve predictive performance. 

#ai #python #100SecondsOfCode

🔗 Resources

Machine Learning  Tutorials https://fireship.io/tags/machine-learning/
What is ML https://www.ibm.com/cloud/learn/machine-learning
Neural Networks https://towardsdatascience.com/a-beginners-guide-to-convolutional-neural-networks-cnns-14649dbddce8
ML Wiki https://en.wikipedia.org/wiki/Machine_learning

🔥 Watch more with Fireship PRO

Upgrade to Fireship PRO at https://fireship.io/pro
Use code lORhwXd2 for 25% off your first payment. 

🎨 My Editor Settings

- Atom One Dark 
- vscode-icons
- Fira Code Font

Topics Covered

- Convolutional Neural Networks
- Machine Learning Basics
- How Data Science Works
- Big Data and Feature Engineering
- Artificial Intelligence History
- Supervised Machine Learning","webdev,app development,lesson,tutorial","{'default': {'url': 'https://i.ytimg.com/vi/PeMlggyqz0Y/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/PeMlggyqz0Y/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/PeMlggyqz0Y/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/PeMlggyqz0Y/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/PeMlggyqz0Y/maxresdefault.jpg', 'width': 1280, 'height': 720}}",rectangular,28,FALSE,TRUE,en,2d,hd,{},none
vdRp_w9f-qM,UCHXa4OpASJEwrHrLeIzw7Yg,Nicholas Renotte,I can't STOP reading these Machine Learning Books!,2023-01-24T02:32:13Z,491191,35225,0,132,PT26S,"Get notified of the free Python course on the home page at https://www.coursesfromnick.com

Sign up for the Full Stack course here and use YOUTUBE50 to get 50% off:
https://www.coursesfromnick.com/bundl...

Hopefully you enjoyed this video. 
💼 Find AWESOME ML Jobs: https://www.jobsfromnick.com

Oh, and don't forget to connect with me!
LinkedIn: https://bit.ly/324Epgo
Facebook: https://bit.ly/3mB1sZD
GitHub: https://bit.ly/3mDJllD
Patreon: https://bit.ly/2OCn3UW
Join the Discussion on Discord: https://bit.ly/3dQiZsV

Happy coding!
Nick

P.s. Let me know how you go and drop a comment if you need a hand!
#machinelearning  #python #datascience",,"{'default': {'url': 'https://i.ytimg.com/vi/vdRp_w9f-qM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/vdRp_w9f-qM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/vdRp_w9f-qM/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/vdRp_w9f-qM/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/vdRp_w9f-qM/maxresdefault.jpg', 'width': 1280, 'height': 720}}",rectangular,28,FALSE,TRUE,,2d,hd,{},none
1f-04mmLoPE,UCy1gZGKcBi1FN1SOV3_9fWw,Got Up Late,when your wife is a machine learning engineer,2022-08-26T03:31:52Z,188113,4978,0,87,PT29S,"Join AI Creators community: https://www.skool.com/ai-creators/about
Get AI coaching: https://mentorcruise.com/mentor/yuema/
Join my newsletter: https://boredbootstrapper.substack.com/",,"{'default': {'url': 'https://i.ytimg.com/vi/1f-04mmLoPE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/1f-04mmLoPE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/1f-04mmLoPE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/1f-04mmLoPE/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/1f-04mmLoPE/maxresdefault.jpg', 'width': 1280, 'height': 720}}",rectangular,26,FALSE,FALSE,en-US,2d,hd,{},none
vNY-BET-0K0,UCWI-ohtRu8eEeDj93hmUsUQ,Coding with Lewis,Learn machine learning EASILY and FREE👩‍💻 #technology #programming #software #machinelearning,2022-08-12T16:15:11Z,205988,24068,0,86,PT34S,,,"{'default': {'url': 'https://i.ytimg.com/vi/vNY-BET-0K0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/vNY-BET-0K0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/vNY-BET-0K0/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/vNY-BET-0K0/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/vNY-BET-0K0/maxresdefault.jpg', 'width': 1280, 'height': 720}}",rectangular,28,FALSE,TRUE,,2d,hd,{},none
J3kMagy27U4,UCvyZS6W6zMJCZBVzF-Ei6sw,A2D Channel,"First Time ""School Chief Guest"" 😇 | Surprise Gift from Students 🤯",2024-08-07T11:00:30Z,517496,46237,0,2624,PT16M4S,"For Sponsorships: collab@a2dmediagroup.com


Join this channel to get access to the perks:
https://www.youtube.com/channel/UCvyZS6W6zMJCZBVzF-Ei6sw/join

0:00 - Today's Plan
0:51 - Velammal Vidhyashram Reception
1:26 - Surprise Gift
2:10 - Hi Soldiers
2:20 - Why Are Dreams Important?
3:48 - Habits
4:47 - Dopamine, Endorphins, Serotonin
5:37 - Good Habits
6:26 - Mug Up and Study
7:30 - What? Why? How?
7:58 - Best Courses After Completing 12th
9:02 - Which Will Be the Dominant Field in Computer Science?
9:50 - What Will Be the Highest LPA Job in 2026?
11:23 - Why Are People Choosing iPhone? Difference Between Android and iOS
12:49 - Sudden Surprises
13:55 - Selfie with Soldiers
15:04 - Fin


For Low-Priced Windows Keys:
=========================
https://www.cdkeyoffer.com/cko/A2D1
cdkeyoffer 25% discount code: A2D
Win 11 Pro($23):https://www.cdkeyoffer.com/cko/A2D1
Win 10 Pro($17):https://www.cdkeyoffer.com/cko/A2D
Win 10 Home($15):https://www.cdkeyoffer.com/cko/A2DH
Office 2016($29):https://www.cdkeyoffer.com/cko/A2D6
Office 2019($48):https://www.cdkeyoffer.com/cko/A2D9

Copyright Infos:
==============
We don't own any music's copyright that we used in this video!!! But we used Game's Soundtracks to Explain The Story with the better feel to UnderStand. The copyright ACT 1976 Under Section 107 says The CopyRighted content can be used for purposes like criticism, comment, news reporting, teaching, scholarship, and research. We're Using these soundtracks to teach people!!! with a better experience.

*******
For Sponsorships: collab@a2dmediagroup.com

A2D PC FACTORY: 
Phone: +91 9445747768 / +91 9025380083(be patient, don't spam)
Email: enquiries@a2dpcfactory.com

Instagram Handles: 
A2D ARMY - https://bit.ly/3HG0ww3
PC DOC NANDA - https://bit.ly/3KcOyvl
KK - https://bit.ly/3CmP6Mx
PRABHU HARI(EDITOR) - https://bit.ly/3vQZMC5

Twitter Handles:
A2D Army - https://bit.ly/3IPHXXr
PC Doc - https://bit.ly/3HSFUAC

Like Us: https://www.facebook.com/a2dchannel/

Join Our Discord server: https://discord.gg/aBABRH2

*******",,"{'default': {'url': 'https://i.ytimg.com/vi/J3kMagy27U4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/J3kMagy27U4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/J3kMagy27U4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/J3kMagy27U4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/J3kMagy27U4/maxresdefault.jpg', 'width': 1280, 'height': 720}}",rectangular,28,FALSE,TRUE,ta,2d,hd,{},none
w-Vyh-99r9o,UCvyZS6W6zMJCZBVzF-Ei6sw,A2D Channel,"We ""Love"" TTF 😍 ft @TwinThrottlers_TTF @Tharunkumar_",2024-08-04T06:00:24Z,795660,74704,0,1526,PT17M47S,"For Sponsorships: collab@a2dmediagroup.com


Join this channel to get access to the perks:
https://www.youtube.com/channel/UCvyZS6W6zMJCZBVzF-Ei6sw/join


For Low-Priced Windows Keys:
=========================
https://www.cdkeyoffer.com/cko/A2D1
cdkeyoffer 25% discount code: A2D
Win 11 Pro($23):https://www.cdkeyoffer.com/cko/A2D1
Win 10 Pro($17):https://www.cdkeyoffer.com/cko/A2D
Win 10 Home($15):https://www.cdkeyoffer.com/cko/A2DH
Office 2016($29):https://www.cdkeyoffer.com/cko/A2D6
Office 2019($48):https://www.cdkeyoffer.com/cko/A2D9

Copyright Infos:
==============
We don't own any music's copyright that we used in this video!!! But we used Game's Soundtracks to Explain The Story with the better feel to UnderStand. The copyright ACT 1976 Under Section 107 says The CopyRighted content can be used for purposes like criticism, comment, news reporting, teaching, scholarship, and research. We're Using these soundtracks to teach people!!! with a better experience.

*******
For Sponsorships: collab@a2dmediagroup.com

A2D PC FACTORY: 
Phone: +91 9445747768 / +91 9025380083(be patient, don't spam)
Email: enquiries@a2dpcfactory.com

Instagram Handles: 
A2D ARMY - https://bit.ly/3HG0ww3
PC DOC NANDA - https://bit.ly/3KcOyvl
KK - https://bit.ly/3CmP6Mx
PRABHU HARI(EDITOR) - https://bit.ly/3vQZMC5

Twitter Handles:
A2D Army - https://bit.ly/3IPHXXr
PC Doc - https://bit.ly/3HSFUAC

Like Us: https://www.facebook.com/a2dchannel/

Join Our Discord server: https://discord.gg/aBABRH2

*******",,"{'default': {'url': 'https://i.ytimg.com/vi/w-Vyh-99r9o/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/w-Vyh-99r9o/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/w-Vyh-99r9o/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/w-Vyh-99r9o/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/w-Vyh-99r9o/maxresdefault.jpg', 'width': 1280, 'height': 720}}",rectangular,28,FALSE,TRUE,ta,2d,hd,{},none
67f0fCM9fFw,UCvyZS6W6zMJCZBVzF-Ei6sw,A2D Channel,Groupism - Toxic Youtube Community,2024-08-01T15:30:02Z,1393862,105291,0,13860,PT24M11S,"For Sponsorships: collab@a2dmediagroup.com


Join this channel to get access to the perks:
https://www.youtube.com/channel/UCvyZS6W6zMJCZBVzF-Ei6sw/join

Timestamp:
=========
0:00 - Video's Intention
1:49 - A2D supports Irfan?
3:59 - Timeline of Events
6:40 - Irfan Bribes A2D?
9:48 - Competence
11:30 - Gender Reveal
14:24 - Power of Money
17:52 - Clarifying Biriyani Man Live
20:18 - Influencers Vs Govt
21:22 -My Mistakes
22:24 - Advice to soldiers
23:44 -Fin


Copyright Infos:
==============
We don't own any music's copyright that we used in this video!!! But we used Game's Soundtracks to Explain The Story with the better feel to UnderStand. The copyright ACT 1976 Under Section 107 says The CopyRighted content can be used for purposes like criticism, comment, news reporting, teaching, scholarship, and research. We're Using these soundtracks to teach people!!! with a better experience.

*******
For Sponsorships: collab@a2dmediagroup.com

A2D PC FACTORY: 
Phone: +91 9445747768 / +91 9025380083(be patient, don't spam)
Email: enquiries@a2dpcfactory.com

Instagram Handles: 
A2D ARMY - https://bit.ly/3HG0ww3
PC DOC NANDA - https://bit.ly/3KcOyvl
KK - https://bit.ly/3CmP6Mx
PRABHU HARI(EDITOR) - https://bit.ly/3vQZMC5

Twitter Handles:
A2D Army - https://bit.ly/3IPHXXr
PC Doc - https://bit.ly/3HSFUAC

Like Us: https://www.facebook.com/a2dchannel/

Join Our Discord server: https://discord.gg/aBABRH2

*******",,"{'default': {'url': 'https://i.ytimg.com/vi/67f0fCM9fFw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/67f0fCM9fFw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/67f0fCM9fFw/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/67f0fCM9fFw/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/67f0fCM9fFw/maxresdefault.jpg', 'width': 1280, 'height': 720}}",rectangular,28,FALSE,TRUE,ta,2d,hd,{},none
0B-Wno23XCw,UCvyZS6W6zMJCZBVzF-Ei6sw,A2D Channel,Tailor AKKA SCAM?🔥 Ft. @thebiriyaniman - Business Vs Scam,2024-07-28T12:46:36Z,2546258,166851,0,25707,PT36M26S,"For Sponsorships: collab@a2dmediagroup.com


Join this channel to get access to the perks:
https://www.youtube.com/channel/UCvyZS6W6zMJCZBVzF-Ei6sw/join


For Low-Priced Windows Keys:
=========================
https://www.cdkeyoffer.com/cko/A2D1
cdkeyoffer 25% discount code: A2D
Win 11 Pro($23):https://www.cdkeyoffer.com/cko/A2D1
Win 10 Pro($17):https://www.cdkeyoffer.com/cko/A2D
Win 10 Home($15):https://www.cdkeyoffer.com/cko/A2DH
Office 2016($29):https://www.cdkeyoffer.com/cko/A2D6
Office 2019($48):https://www.cdkeyoffer.com/cko/A2D9

Copyright Infos:
==============
We don't own any music's copyright that we used in this video!!! But we used Game's Soundtracks to Explain The Story with the better feel to UnderStand. The copyright ACT 1976 Under Section 107 says The CopyRighted content can be used for purposes like criticism, comment, news reporting, teaching, scholarship, and research. We're Using these soundtracks to teach people!!! with a better experience.

*******
For Sponsorships: collab@a2dmediagroup.com

A2D PC FACTORY: 
Phone: +91 9445747768 / +91 9025380083(be patient, don't spam)
Email: enquiries@a2dpcfactory.com

Instagram Handles: 
A2D ARMY - https://bit.ly/3HG0ww3
PC DOC NANDA - https://bit.ly/3KcOyvl
KK - https://bit.ly/3CmP6Mx
PRABHU HARI(EDITOR) - https://bit.ly/3vQZMC5

Twitter Handles:
A2D Army - https://bit.ly/3IPHXXr
PC Doc - https://bit.ly/3HSFUAC

Like Us: https://www.facebook.com/a2dchannel/

Join Our Discord server: https://discord.gg/aBABRH2

*******",,"{'default': {'url': 'https://i.ytimg.com/vi/0B-Wno23XCw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/0B-Wno23XCw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/0B-Wno23XCw/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/0B-Wno23XCw/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/0B-Wno23XCw/maxresdefault.jpg', 'width': 1280, 'height': 720}}",rectangular,28,FALSE,TRUE,ta,2d,hd,{},none
4dXqnVjyyDs,UCvyZS6W6zMJCZBVzF-Ei6sw,A2D Channel,"காது வெடித்த GANESHA💣🔥 | Rs.450/- Vs Rs.24,999/- Airpods",2024-07-31T13:29:31Z,640569,41057,0,3933,PT12M9S,"Content Researcher Form:
====================
https://forms.gle/posjoFxFMt4QKeSE9

For Sponsorships: collab@a2dmediagroup.com

Join this channel to get access to the perks:
https://www.youtube.com/channel/UCvyZS6W6zMJCZBVzF-Ei6sw/join

For Low-Priced Windows Keys:
=========================
https://www.cdkeyoffer.com/cko/A2D1
cdkeyoffer 25% discount code: A2D
Win 11 Pro($23):https://www.cdkeyoffer.com/cko/A2D1
Win 10 Pro($17):https://www.cdkeyoffer.com/cko/A2D
Win 10 Home($15):https://www.cdkeyoffer.com/cko/A2DH
Office 2016($29):https://www.cdkeyoffer.com/cko/A2D6
Office 2019($48):https://www.cdkeyoffer.com/cko/A2D9

Copyright Infos:
==============
We don't own any music's copyright that we used in this video!!! But we used Game's Soundtracks to Explain The Story with the better feel to UnderStand. The copyright ACT 1976 Under Section 107 says The CopyRighted content can be used for purposes like criticism, comment, news reporting, teaching, scholarship, and research. We're Using these soundtracks to teach people!!! with a better experience.

*******
For Sponsorships: collab@a2dmediagroup.com

A2D PC FACTORY: 
Phone: +91 9445747768 / +91 9025380083(be patient, don't spam)
Email: enquiries@a2dpcfactory.com

Instagram Handles: 
A2D ARMY - https://bit.ly/3HG0ww3
PC DOC NANDA - https://bit.ly/3KcOyvl
KK - https://bit.ly/3CmP6Mx
PRABHU HARI(EDITOR) - https://bit.ly/3vQZMC5

Twitter Handles:
A2D Army - https://bit.ly/3IPHXXr
PC Doc - https://bit.ly/3HSFUAC

Like Us: https://www.facebook.com/a2dchannel/

Join Our Discord server: https://discord.gg/aBABRH2

*******",,"{'default': {'url': 'https://i.ytimg.com/vi/4dXqnVjyyDs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/4dXqnVjyyDs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/4dXqnVjyyDs/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/4dXqnVjyyDs/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/4dXqnVjyyDs/maxresdefault.jpg', 'width': 1280, 'height': 720}}",rectangular,28,FALSE,TRUE,ta,2d,hd,{},none
